c1,c2,c3,c4,c5,c6
Diameter,Minimum ID,Min. Wall Thickness,Socket Outer Circum (BD),Socket Outer Circum (AD),Head Inner Circum
200,195,1.5,690,680,680
300,294,2,1040,1025,1025
400,392,2.5,1360,1343,1344
500,490,3,1705,1670,1670
600,588,3.5,2015,1982,1982
700,673,4,2340,2292,2292
800,785,4.5,2660,2600,2607
900,885,5,2985,2930,2930
1000,985,5,3300,3243,3243
1100,1085,5,3615,3553,3553
1200,1185,5,3938,3873,3873
1300,1285,5,4259,4190,4190
1400,1385,5,4620,4500,4505
1500,1485,5,4933,4843,4843
1600,1585,5.5,5240,5150,5150
1700,1685,5.5,5575,5485,5485
1800,1785,6,5870,5790,5790
1900,1885,6,,,
2000,1985,6,6507,6415,6415
2100,2085,6,,,
2200,2185,7,7025,6935,6935
2300,2285,8,,,
2400,2385,9,,,
2500,2485,10,8090,8010,8010
2600,2585,10,,,
2700,2685,10,,,
2800,2785,10,9140,8990,8950
2900,2885,10,,,
3000,2985,10,9660,9620,9580
3100,3085,10,,,
3200,3185,10,,,
3300,3285,10,,,
3400,3385,10,,,
3500,3485,10,,,
