Pipe Diameter,Flat Die,Thickness,PP Diameter,PP Thickness,SN,Pipe Weight,PP Distance
600,110,3,27,3,2.45,78.41,77.0
600,110,3,34,3,4.12,89.14,70.0
600,110,3,42,4,8.97,116.16,60.0
600,110,3,54,4,16.12,137.42,48.0
600,110,4,27,3,2.75,89.52,77.0
600,110,4,34,3,4.6,100.28,70.0
600,110,4,34,4,6.28,113.17,68.0
600,110,4,42,5,12.69,143.42,58.0
600,110,5,34,4,6.91,124.39,68.0
600,125,3,27,3,2.23,73.91,92.0
600,125,3,42,4,8.21,107.12,75.0
600,125,3,42,6,12.72,135.79,71.0
600,125,5,27,3,2.74,96.13,92.0
600,125,5,34,3,4.58,105.63,85.0
600,125,5,34,4,6.3,117.01,83.0
600,125,5,42,5,12.77,143.71,73.0
600,125,6,27,3,2.99,107.29,92.0
600,125,6,34,3,4.94,116.83,85.0
600,125,6,34,4,6.84,128.24,83.0
600,125,6,42,6,17.0,169.79,71.0
600,135,3,27,3,2.1,71.46,102.0
600,135,3,34,4,4.84,90.67,93.0
600,135,3,42,6,12.08,128.76,81.0
600,135,4,27,3,2.35,82.55,102.0
600,135,4,42,4,8.69,113.4,85.0
600,135,5,27,3,2.58,93.67,102.0
600,135,5,34,3,4.31,102.47,95.0
600,135,5,42,5,12.11,137.73,83.0
600,135,5,54,4,16.92,142.07,73.0
600,135,6,27,3,2.81,104.82,102.0
600,135,6,34,3,4.65,113.65,95.0
600,135,6,34,4,6.45,124.22,93.0
600,135,6,42,6,16.12,162.69,81.0
600,135,7,34,3,4.99,124.88,95.0
600,135,7,34,4,6.93,135.48,93.0
600,150,5,27,3,2.38,90.59,117.0
600,150,5,42,4,8.8,118.45,100.0
600,150,6,27,3,2.58,101.73,117.0
600,150,6,34,3,4.28,109.68,110.0
600,150,6,42,5,12.14,141.52,98.0
600,150,6,54,4,16.83,145.44,88.0
600,150,7,27,3,2.79,112.92,117.0
600,150,7,34,3,4.58,120.89,110.0
600,150,7,34,4,6.39,130.43,108.0
600,150,7,42,6,16.08,165.17,96.0
600,180,5,27,3,2.05,85.97,147.0
600,180,5,34,4,4.79,100.47,138.0
600,180,5,42,6,12.2,129.23,126.0
600,180,7,27,3,2.4,108.27,147.0
600,180,7,42,4,8.78,131.64,130.0
600,180,10,34,3,4.77,148.7,140.0
600,180,10,34,4,6.66,156.73,138.0
600,180,10,42,6,16.73,185.96,126.0
700,110,3,34,3,2.59,103.89,70.0
700,110,3,42,6,8.74,173.31,56.0
700,110,3,54,5,12.65,183.12,46.0
700,110,4,34,3,2.9,116.84,70.0
700,110,4,42,4,6.32,148.41,60.0
700,110,4,54,6,16.94,220.09,44.0
700,110,5,34,4,4.35,144.88,68.0
700,110,5,42,4,6.92,161.49,60.0
700,110,5,42,5,8.78,180.2,58.0
700,110,5,54,4,12.31,186.4,48.0
700,125,3,34,3,2.36,97.14,85.0
700,125,3,42,5,6.54,141.22,73.0
700,125,3,42,6,8.01,158.23,71.0
700,125,5,34,3,2.88,123.05,85.0
700,125,5,42,4,6.32,150.9,75.0
700,125,5,42,5,8.04,167.37,73.0
700,125,5,54,6,16.96,214.16,59.0
700,125,6,34,4,4.3,149.33,83.0
700,125,6,42,4,6.83,163.99,75.0
700,125,6,42,5,8.71,180.5,73.0
700,125,6,54,4,12.1,185.97,63.0
700,135,3,34,3,2.24,93.48,95.0
700,135,3,42,4,4.9,119.12,85.0
700,135,3,42,5,6.21,134.29,83.0
700,135,3,54,4,8.81,139.31,73.0
700,135,3,65,5,16.99,189.18,60.0
700,135,4,34,3,2.49,106.4,95.0
700,135,4,42,5,6.95,147.33,83.0
700,135,4,42,6,8.53,163.13,81.0
700,135,4,54,5,12.21,171.15,71.0
700,135,5,34,3,2.72,119.36,95.0
700,135,5,54,6,16.1,203.72,69.0
700,135,6,34,3,2.93,132.36,95.0
700,135,6,34,4,4.06,144.65,93.0
700,135,6,42,4,6.45,158.22,85.0
700,135,6,42,5,8.25,173.51,83.0
700,135,7,34,4,4.37,157.72,93.0
700,135,7,42,4,6.9,171.33,85.0
700,135,7,42,5,8.84,186.66,83.0
700,135,7,54,4,12.19,191.74,73.0
700,150,5,34,3,2.5,114.75,110.0
700,150,5,42,6,8.72,165.95,96.0
700,150,5,54,5,12.38,173.19,86.0
700,150,6,34,3,2.69,127.74,110.0
700,150,6,54,6,16.15,203.88,84.0
700,150,7,34,3,2.89,140.76,110.0
700,150,7,34,4,4.02,151.85,108.0
700,150,7,42,4,6.37,164.1,100.0
700,150,7,42,5,8.19,177.9,98.0
700,180,5,34,3,2.16,107.84,140.0
700,180,5,42,4,4.83,127.19,130.0
700,180,5,42,5,6.21,138.62,128.0
700,180,5,54,4,8.65,142.41,118.0
700,180,5,65,5,16.72,180.02,105.0
700,180,7,34,3,2.48,133.81,140.0
700,180,7,42,6,8.88,176.71,126.0
700,180,7,54,5,12.44,182.77,116.0
700,180,10,34,4,4.19,182.34,138.0
700,180,10,42,4,6.52,192.64,130.0
700,180,10,42,5,8.45,204.23,128.0
800,110,3,34,4,2.35,135.72,68.0
800,110,3,42,5,4.78,175.82,58.0
